word,frequency
wed,9
stisfied,3
experience,7
lifted,1
hopes,1
offer,7
especilly,9
pproches,1
stdying,9
nywys,4
gr,12
trst,9
gys,33
gretbye,1
hndsome,1
finding,1
working,29
wrds,7
net,7
mmmy,3
wheres,8
boyy,17
hh,68
wesome,19
minte,12
xms,13
rdio,3
js,36
bthe,10
sis,17
sing,10
finishes,3
joined,4
lege,1
ch,18
friend,36
personl,4
week,66
finlly,14
completed,2
corse,14
itself,9
however,7
sggest,3
stys,2
ble,39
ors,1
every,40
sol,3
settled,4
yer,44
wishin,2
mrng,14
hv,31
sry,25
hmster,2
ded,8
tmr,28
pm,24
orchrd,11
mrt,9
kte,11
evening,26
bbyjontet,1
txt,14
xxx,21
fond,17
enc,1
bcks,7
drlin,14
college,15
refilled,2
sccessflly,3
inr,2
ltdecimlgt,23
kerlcircle,2
prepid,2
blnce,4
rs,11
trnsction,5
id,32
kr,2
goodmorning,14
sleeping,17
g,22
dt,42
ericsson,2
oso,23
cnnot,5
oredi,15
dts,3
stright,4
dogg,1
connection,4
before,60
refnd,1
bill,7
both,20
shoot,4
big,36
redy,35
brv,2
brek,13
rewrding,2
semester,12
cht,14
kkgoodstdy,1
noe,20
leh,29
sonds,15
mtch,5
heding,2
drw,5
prediction,1
slept,8
pst,7
few,45
nights,3
esy,18
hsen,2
selected,4
exm,11
mrch,13
shold,88
se,54
gt,9
tm,7
register,1
os,2
clled,32
bnd,1
instlling,2
diskyo,1
importnt,14
files,4
system,6
repir,2
shop,13
hppen,20
romntic,4
nite,35
scenery,1
pprecite,7
compny,15
elm,1
po,4
mdydh,1
strict,1
thn,39
techer,3
bcoz,10
teches,4
condcts,2
lessons,9
gndhiprm,1
wlk,18
cross,11
rod,8
side,13
street,6
rbber,1
bttery,7
died,5
yeshere,2
printed,2
pstirs,2
closer,4
yowhen,1
wil,18
rech,26
theory,4
rgment,5
wins,4
loses,3
person,40
rge,4
kick,5
correct,9
mrrow,5
finl,2
hering,1
lpp,12
plessssssseeeeee,1
tel,12
vent,3
sportsx,1
shining,2
ment,14
signing,2
lthogh,2
ld,53
fce,29
wtches,1
wtch,33
fr,29
thnx,33
everything,29
ched,3
commercil,2
website,4
slippers,3
sked,22
kllis,6
innings,3
goodnight,8
fix,5
wke,33
derly,3
missed,21
sleep,61
rnjith,3
cl,7
drpd,2
deerj,2
deepk,2
min,29
hold,15
bcms,4
ngry,18
wid,16
dnt,13
coz,19
childish,6
tre,22
showing,7
deep,10
ffection,4
cre,62
lv,31
ketd,4
mnd,4
doinghow,2
ps,6
dys,36
shipping,3
tkes,12
wks,3
other,51
sps,4
lg,2
bribe,1
nipost,1
lemme,8
necessrily,2
expect,4
hedin,2
mmm,4
jolt,2
szy,1
lover,7
prked,3
mini,2
shopping,23
own,10
distrb,9
ln,1
ring,15
dint,6
pln,32
trip,17
sometme,1
evo,1
flsh,3
jelos,3
sorting,3
nrcotics,1
ended,6
snny,6
rys,5
leves,10
worries,9
might,34
objection,1
bf,5
rob,1
mck,1
gf,2
theter,1
hnded,3
celebrtions,1
fll,26
swing,12
ol,4
okie,19
sl,7
pssed,4
lst,67
nybody,5
throw,4
lets,17
bby,28
crisin,1
fone,9
jenny,2
ge,12
dershll,1
nitebsy,1
streetshll,1
pdte,5
nitethings,1
okvrnnth,1
edkkkyee,1
rksh,1
ollbt,1
sense,7
gthm,3
stpid,10
cm,12
bzy,3
ccidentlly,4
messge,51
resend,2
nless,9
grl,5
pproprite,1
hrt,22
tese,3
cry,5
die,12
rose,8
grve,2
bslvyl,13
phone,80
coffee,7
mocnt,2
somebody,9
high,4
diesel,1
shit,34
shocking,2
scry,3
imgine,7
def,4
somewhere,10
crsh,2
txi,2
fridge,1
mel,5
womdrfll,1
remb,1
book,17
jos,1
friendship,21
hnging,4
thred,2
grge,3
keys,3
rent,16
bookshelf,1
ccept,9
sister,17
clos,3
lvblefrnd,3
jstfrnd,3
ctefrnd,3
lifprtnr,3
belovd,4
swthert,3
bstfrnd,3
enemy,4
definitely,5
norml,8
wythis,1
niqei,1
rest,9
mylife,1
wot,24
lost,11
mde,28
kkdvnce,1
pongl,3
kb,7
power,8
yog,7
dnno,31
lo,4
dde,23
frid,3
cke,3
merry,9
christms,11
kisses,4
cd,5
ppl,4
gon,4
bses,2
witin,5
pete,8
gild,1
brisl,2
plns,11
flight,2
problem,35
dhow,2
sign,6
trck,8
record,3
reding,13
women,2
red,20
light,15
kkpo,1
kgood,1
movie,18
retrn,6
immeditely,5
chnce,12
evported,1
violted,2
privcy,1
steling,1
nmber,64
employers,1
pperwork,2
report,6
spervisor,3
td,1
wined,1
dined,1
sleepingnd,3
srfing,5
clling,14
post,14
texts,9
wiv,6
croline,2
fvorite,5
bless,2
hiding,1
strnger,2
interested,7
clered,3
two,31
gdnitetcprctice,2
dis,28
yije,6
himing,1
nm,6
smll,11
prestige,1
jeremih,1
iphone,1
peshit,1
ever,32
misbehved,2
slp,3
rself,9
flt,11
bsiclly,5
figre,10
lcohol,3
jy,13
sfely,1
weed,8
ish,12
mintes,27
wtf,4
cllingforgot,1
onm,2
sirjii,1
remembered,3
met,10
insrnce,7
personmeet,1
insh,1
llhrkhesh,1
ex,10
ig,1
tisscotyseer,1
nemployed,2
moment,10
st,53
ndrewsboy,1
posted,6
chikk,12
chikkdb,1
dreys,1
stts,2
forwrd,7
snshine,1
dwns,1
refreshed,1
brethe,2
ir,7
z,1
niform,1
geeee,5
woke,10
wish,50
cddling,2
spoil,1
tlking,13
gree,2
willing,5
seen,12
mei,6
didt,5
recognise,2
hppening,7
lindsy,1
yers,21
sighs,5
brs,2
ptbo,3
heron,1
pysm,1
brings,8
tght,1
becs,1
verifying,1
project,14
prb,1
mistke,7
body,5
repirs,1
qite,34
slow,10
tests,3
gide,5
ovltion,2
relx,6
reson,14
followin,1
cople,12
wllet,1
leve,53
owl,1
licks,2
csmer,9
fn,24
hving,42
intro,5
piltes,6
kickboxing,1
office,24
lp,1
sht,3
performnce,1
wrd,3
clclted,1
monthnot,1
crrent,3
period,3
ctlly,32
rock,10
ptting,6
bsiness,3
pt,29
pictres,5
ss,15
fcebook,8
pictre,2
slm,1
whleykkmshring,1
newsby,1
grce,2
god,31
tyseertissco,1
joinedhope,1
fineinshh,1
llhmeet,1
sometimerkheshvisir,1
indi,10
hmmmkbt,1
chnge,22
field,2
qickly,3
di,10
dministrr,2
chechi,3
crem,4
shipped,2
none,8
yep,10
loxhtchee,2
tree,3
brning,2
strts,5
sners,1
slightly,2
disstros,1
fv,1
drlings,2
off,56
wld,4
sty,20
drink,17
bsep,1
messgesome,2
sendernme,2
sentdte,2
vi,10
fllonsmscom,6
iron,1
thing,60
okies,1
yn,12
ji,8
skip,2
den,32
blh,3
bring,26
wendy,1
whtsp,2
gol,1
yesfrom,1
siv,1
hostel,5
receive,5
voice,10
speking,2
expression,2
sentiment,1
rowdy,1
fl,4
ttitde,1
ttrctive,1
fnny,8
irritting,3
shell,6
thiwhere,3
rintion,1
esplnde,5
mind,39
giving,7
lift,7
bmw,3
rgentlyits,3
vry,7
rgentbt,3
shortge,3
lcsthere,3
sorce,3
rng,6
mt,8
lcsthts,3
fifteen,4
fcking,15
respond,4
booked,10
ticket,6
hillsborogh,1
th,38
skin,6
dollrs,5
shol,2
iori,3
ten,13
pplebees,2
txtjorney,1
gdnow,1
mins,13
rrnge,4
yeshe,3
gretbhji,2
cricketer,2
schin,2
worldvery,2
gh,19
spposed,12
oic,3
din,8
grop,6
werethe,1
monkeespeople,1
monkeyrond,1
howdy,1
gorgeos,4
blimey,1
exercise,1
kind,24
hmm,11
concentrtion,1
hnks,1
lotsly,1
kkwht,1
detil,1
trnsfercc,1
optimistic,1
improve,2
si,6
oreo,2
trffles,2
betifl,20
intelligent,4
womn,4
reslt,4
consistently,1
strt,28
sking,11
prcticm,1
links,1
ers,1
ttyl,6
bd,34
thr,7
different,10
feelingwvering,1
decisions,2
coping,2
individltime,1
hel,1
gives,5
resons,4
bye,4
rilwy,3
princess,32
receiving,2
orl,1
doggy,3
style,8
fve,3
position,2
enjoy,29
rods,2
slippery,1
bike,1
mny,56
lngge,2
scremed,2
enters,1
remove,6
rte,2
trnsfered,3
removed,1
bnks,3
differ,1
chrges,3
differbe,1
j,9
detils,18
line,7
broken,2
hert,40
infront,2
wise,3
thilove,3
tension,2
hwht,1
mchiny,1
whenre,1
thinking,19
mcr,1
sec,5
tste,2
fb,8
jykwon,1
thglyfe,1
flconerf,1
win,11
depends,7
qlity,5
boye,3
fded,1
glory,1
rlphs,1
fixed,6
cconts,3
dry,4
trde,2
credit,5
crd,13
sorryin,2
renion,1
nowcn,1
meh,9
nope,15
mondy,10
replied,5
ccentre,1
confirm,10
jckson,1
rec,1
center,2
reche,1
fighting,5
either,12
lose,20
fightng,3
dificlt,3
nerologist,1
lolnice,1
fish,3
wter,10
bored,19
otside,17
westshore,1
hyde,2
prk,11
villge,3
ner,9
nthony,2
bringing,3
fees,3
significnce,1
opinion,8
jd,6
ksrthi,4
silent,9
spl,4
chrcter,6
mtred,4
stylish,5
simple,17
ltest,3
gs,14
scronge,2
mmo,1
prbhim,3
sorydrelyfrm,3
sory,3
forgiven,2
nojst,1
sno,2
competition,2
trnsport,2
less,10
problemtic,1
join,11
definite,2
nos,2
booking,2
fri,13
nconscios,1
children,6
dlts,1
behve,3
bnormlly,1
eby,2
elsewhere,3
shll,29
pickle,2
tcos,2
rde,1
cmps,6
pretty,15
ldy,6
single,7
doblefggot,1
dysndysndy,3
holidyso,3
while,24
hoping,10
mlri,7
bni,1
leds,1
pssionte,4
kiss,31
probbly,33
lt,6
fingers,8
these,16
btns,1
mmmmmh,3
retrns,5
tirpr,3
fmos,1
qote,4
develop,2
bility,2
listen,12
nconditionlly,1
losing,4
temper,1
self,6
confidence,4
mrried,5
oclock,1
mine,16
bsh,1
recovery,2
rther,7
pss,6
cooped,1
hotel,5
invittion,1
cli,1
english,5
blokes,2
weddin,1
omw,7
btw,4
libi,1
ctting,2
sink,1
throgh,12
pces,1
cge,1
cock,2
srronded,1
reminding,2
owns,2
cck,1
hrry,6
weeddeficient,1
three,4
cknowledgement,1
sndingly,1
tctless,1
generlly,3
fggy,2
demnd,2
blood,3
oth,1
fo,2
wrm,8
cp,4
milk,3
mgic,1
loose,2
weight,7
pn,3
chep,6
perhps,2
silly,1
likely,3
cses,1
mttions,1
snscreen,1
essentil,4
thesedys,1
lnchyo,1
onlinewhy,1
pics,7
iyo,6
hven,1
fst,14
workin,8
bo,1
sgrdd,1
hgee,1
meim,1
brownie,1
geeeee,2
brely,6
fck,29
mrw,5
ninish,1
icky,1
mericn,3
freek,1
cllin,3
jen,2
oooh,2
ridden,1
ey,2
gym,12
whtever,17
smiles,5
dddy,8
screm,6
dick,2
missy,1
yr,16
sch,23
clen,7
lb,5
goggles,1
door,7
rging,1
rngd,1
mrrige,6
wlkin,1
nfortntly,1
snke,3
bites,1
dncing,2
frnt,1
syin,1
bite,3
izzit,7
exwife,1
kids,10
scotlnd,2
jjc,1
tendencies,1
hedche,3
qit,4
jzz,5
yogsn,5
em,9
meive,1
hrdly,2
gotny,1
srsly,1
yi,1
grnd,4
prix,1
choose,7
stnds,1
ends,8
nitz,1
exhsted,3
trin,9
pie,4
mms,4
present,7
blstin,1
tsnmis,2
occr,1
rjniknt,1
spped,5
swimming,3
indin,5
ocend,1
noon,9
bridgwter,1
bnter,1
nev,18
imm,7
somethin,5
vlentine,8
gme,12
nswers,4
qes,2
color,6
sits,2
bestrply,1
dependents,1
cer,1
often,4
soonc,1
himthen,1
ftre,4
vlentines,7
hndreds,1
hndsomes,1
beties,1
nties,1
ncles,4
shock,1
shhi,7
leon,3
rection,2
fmily,21
hppiness,13
snow,14
wether,6
gether,21
friendships,1
grow,1
dismy,1
lex,7
concerned,1
pb,15
drinks,3
sefl,2
officilly,2
pid,6
mrket,3
otsie,1
pop,3
longer,8
drren,12
forwrded,5
seventeen,1
ponds,2
seven,3
hndred,1
ml,1
sweethert,2
login,2
dd,37
fetching,1
hors,16
resck,1
thnksgiving,3
sond,10
effects,2
brighten,1
wee,2
thrsdy,5
llo,1
brved,1
tken,2
trins,2
trimphed,1
bhm,1
jolly,2
cron,5
listening,4
msic,3
eve,14
temple,4
chrch,4
ncomfortble,1
emil,17
gentle,5
sonetimes,1
rogh,1
strting,5
pnic,2
tesdy,8
wesleys,1
bet,5
drgs,10
drg,5
delers,1
imptient,2
sn,18
erth,5
clod,1
river,2
evng,6
wikipedicom,1
nder,7
lys,2
envelope,4
pper,12
repent,1
fetch,6
de,28
prepre,4
stdy,9
positions,1
km,1
en,2
nnge,1
bkr,1
klstiythen,1
tecoffee,1
crlosll,1
lkhs,1
ho,9
belly,5
lgh,9
dit,1
sying,20
pece,3
knw,17
wetherspoons,1
piggy,1
freky,1
yelling,2
scrppy,1
lonely,3
hex,2
explin,4
sdrybi,1
xy,9
king,5
crying,1
bilding,3
imprtnt,1
morw,1
derme,1
cherthlin,1
cochin,2
bfore,1
strti,1
ccordinglyor,1
comingtmorow,1
engged,1
ns,8
holidy,12
rch,7
bold,9
frm,13
lw,6
prchse,1
box,5
poop,2
looks,7
gp,8
entrepreners,1
lexs,1
corportion,1
prevent,1
dehydrtion,1
flids,1
weird,4
ide,7
deri,2
soso,1
smsd,1
trek,1
hrri,1
drivin,4
height,4
erontics,2
professors,2
wer,11
clld,2
sit,7
eroplne,2
ftr,6
stdents,6
dey,5
hrried,2
sidif,2
seems,9
timing,5
shitsrm,1
ttribted,1
stress,3
dorm,2
sell,10
sth,1
specs,1
membership,1
px,2
pseti,1
ssme,4
mindsetbelieve,1
slet,1
gincll,1
nytime,4
sfine,1
wondr,1
flim,1
cookies,2
jelly,1
rnning,5
stillmybe,1
feeling,19
smeso,1
itor,1
dmiti,1
mdthen,1
correctionor,1
lifend,1
worldmy,1
rnninglets,1
scrmptios,1
wnts,20
order,7
hlfth,2
exctly,6
jide,1
visiting,1
spring,2
yy,6
stek,1
convincingjst,1
twice,5
neglect,1
msgs,7
itjst,1
opportnityll,1
fstpls,1
pryers,1
derrkhesh,1
myb,13
rite,19
fster,3
gls,5
ttched,2
gld,9
hdnt,1
clocks,1
shoted,3
relised,1
shorter,3
ldies,3
gze,1
eyes,9
weve,5
spoken,4
gist,2
gimme,3
lip,2
cveboy,1
librry,8
rely,5
sorryi,1
confsed,2
holl,7
nyone,16
spre,2
fith,1
mkes,23
possiblehope,1
worklove,1
betiflmy,1
christmsmerry,1
yocrlos,1
isre,1
phones,2
vibrte,1
cting,1
grndms,1
hngover,1
fber,1
yest,7
wishing,10
dvnce,6
nt,16
goin,21
meetin,4
wonder,11
tis,5
theyre,7
drmtic,1
schools,2
closed,2
pprently,4
drive,20
inch,2
nywhere,3
dmn,6
hnting,1
drnkrd,1
wts,13
idc,1
weseling,1
row,3
spce,5
picking,12
trsh,1
smokes,4
begging,2
lovely,15
gy,26
slve,9
pnish,1
beerge,1
rndomlly,1
within,6
opening,2
coldnt,6
shes,30
fixes,1
spelling,1
diff,3
word,12
enjoyed,2
fondly,1
bein,3
thot,3
ywhere,1
dogbreth,1
sonding,1
jn,5
omg,8
weighed,1
woohoo,1
ncontble,1
dictionry,4
pieces,3
petey,1
wherere,1
friendsre,1
thekingshed,1
cnlove,1
nic,2
ppt,4
lttimegt,7
dled,1
imp,2
int,9
smokin,1
boooo,1
bec,2
ssnervos,1
costmes,1
gift,7
yowifes,1
hint,3
borrow,2
bg,5
model,6
yoi,1
glileo,2
dobby,1
responding,2
boo,6
enjoyin,1
yorjob,1
gettin,8
hnnyhope,1
oktke,2
illspek,1
soonlots,1
loveme,2
xxxx,2
strshine,1
che,4
sips,1
cppccino,2
tesing,6
bits,1
hhhse,3
brin,4
trned,1
green,4
bril,1
mojibiol,2
mte,14
rv,1
hol,1
ges,3
rodsrvx,1
skyped,2
kz,2
sr,6
given,2
ltimtm,2
contin,2
bro,5
srely,6
sccessfl,3
chrge,10
inconsiderte,2
ng,2
recession,2
hence,2
soo,2
nderstnd,10
comprehensive,1
prshnthettns,1
mother,5
kkwhen,2
menwhile,4
site,7
xvier,3
seconds,3
wrning,2
smnth,1
plying,5
jys,3
gitr,1
impress,1
dog,8
relizes,1
smch,3
trm,2
swer,1
officewhts,1
mttermsg,1
nowi,2
shoes,2
inner,1
tigress,1
ctivte,1
version,6
poor,10
bbyhope,1
rfeeling,1
bettersn,1
probtht,1
overdose,1
crefl,2
spk,3
lovejen,1
retrned,3
sthy,3
spoons,1
nmed,2
tmp,9
genis,2
whenever,11
connections,2
sort,11
lott,2
corvettes,1
ltely,2
consider,2
wlls,3
bnkers,1
pecefl,2
mtter,5
philosophicl,1
hole,1
sved,4
goodno,1
problembt,1
drop,16
cddle,3
np,3
tlest,1
otherwise,10
shkespere,1
shesil,3
csr,2
knew,12
wol,1
led,5
wnting,3
crfew,1
gibe,1
midnight,6
getsleep,1
stddying,1
er,7
trining,8
mssges,1
oil,2
yoyyooo,1
permissions,1
mc,5
sb,4
gibbs,2
nsoldmike,1
hssey,1
filed,2
sd,23
nbelievble,2
fglord,1
wifehow,3
mrder,6
ntter,1
ctter,2
cttergg,1
cttrgg,1
ctrgg,1
ctgg,1
ie,2
ths,5
sperb,1
grtefl,1
opportnity,3
hppier,1
gents,1
experiment,1
severl,2
otstnding,3
invoices,1
possible,8
tech,8
smell,1
bcco,1
derek,4
tylor,2
ssmed,1
worst,2
chrles,2
grinle,1
greet,3
white,5
fdge,1
oreos,1
sres,2
zhers,1
ym,6
nseos,1
pissed,5
sweets,2
pig,4
dieting,1
chip,2
reminder,1
ddicted,4
msging,3
wrong,14
pho,4
registered,4
yck,2
shleys,1
vlrr,1
holllter,1
ttend,4
ronds,1
dybt,1
websitenow,1
blogging,1
mgiclsongsblogspotcom,1
chikkil,1
diet,4
slices,1
kvb,1
cc,4
fridyhope,1
lterntivehope,1
terms,3
congrtltions,1
ore,1
owo,1
moments,3
fro,1
wherever,6
sholders,1
jens,2
fever,4
vomitin,1
kkre,1
stffed,1
bleh,2
lest,13
writhing,1
pypl,1
voil,1
pockets,1
plces,5
medicl,8
blown,1
recently,5
scores,1
sophs,1
secondry,1
ppliction,2
pplying,1
ognrinde,1
expensive,6
phos,5
lodging,1
chk,1
dict,1
shb,1
trth,11
ginst,9
grvity,4
creflly,4
feels,11
hevy,7
dobbys,1
bowl,4
brnd,2
decision,4
simpler,2
mgicl,3
welp,3
retired,1
code,1
ntwest,1
chd,1
gymnstics,1
christins,1
necklce,2
ken,1
yothts,1
wife,23
likingbe,1
seeno,1
thtdont,1
ptitde,1
horse,1
rcing,2
erlier,13
chicken,3
rice,2
closes,2
wrongly,1
crp,2
borin,1
boggy,1
boring,5
bitch,5
nxt,6
il,8
hesitte,1
wekness,1
notebook,1
slry,4
chocolte,2
dyshe,2
potentil,2
tlent,3
reckon,2
eightish,1
crprk,1
fckin,3
dropped,5
loving,15
hthe,1
bi,6
morrowcll,1
ireneere,1
cresbi,1
prkph,1
wkg,3
dysn,1
btt,4
sore,4
jly,1
relxing,1
prty,14
stripes,1
skirt,1
mircle,7
jess,9
blessed,2
esclr,1
yetnde,3
qiet,2
beth,1
nts,2
chrlie,1
helen,1
nobt,1
herd,8
syllbs,1
poyyriktrkolthplymnjlr,1
posterode,1
heroi,1
opportnitypls,1
ltemilgt,1
kerl,5
fit,2
terrible,3
lovers,2
spreme,1
ldshe,1
derregret,1
cdnt,1
clldrove,1
ctl,3
homeleft,1
mobile,15
crente,1
ishtmyoohppy,1
bkrid,1
exe,3
don,11
knowwit,1
glorios,1
nniversry,2
finds,1
content,1
prey,3
coxing,1
imges,1
soveniers,1
