v1,v2
ham,Hello! How's yo nd how did strdy go? I ws jst texting  see if yo'd decided  do nything mo. Not tht i'm trying  invite myself or nything!
ham,Pls go hed with wtts. I jst wnted  be sre. Do hve  gret weekend. biol
ham,"Did I forget  tell yo ? I wnt yo , I need yo, I crve yo ... Bt most of ll ... I love yo my sweet rbin steed ... Mmmmmm ... Ymmy"
spam,07732584351 - Rodger Brns - MSG = We tried  cll yo re yor reply  or sms for  free noki mobile + free cmcorder. Plese cll now 08000930705 for delivery morrow
ham,WHO RE YO SEEING?
ham,Gret! I hope yo like yor mn well endowed. I m  &lt;#&gt;  inches...
ham,No clls..messges..missed clls
ham,Didn't yo get hep b immnistion in nigeri.
ham,"Fir enogh, nything going on?"
ham,"Yeh hopeflly, if tyler cn't do it I cold mybe sk rond  bit"
ham, don't know how stbborn I m. I didn't even wnt  go  the hospitl. I kept telling Mrk I'm not  wek scker. Hospitls re for wek sckers.
ham,Wht yo thinked bot me. First time yo sw me in clss.
ham," grm slly rns like  &lt;#&gt; ,  hlf eighth is smrter thogh nd gets yo lmost  whole second grm for  &lt;#&gt;"
ham,K fyi x hs  ride erly morrow morning bt he's crshing t or plce night
ham,"Wow. I never relized tht yo were so embrssed by yor ccomodtions. I thoght yo liked it, since i ws doing the best i cold nd yo lwys seemed so hppy bot \the cve\"". I'm sorry I didn't nd don't hve more  give. I'm sorry i offered. I'm sorry yor room ws so embrssing."""
spam,SMS. c Sptv: The New Jersey Devils nd the Detroit Red Wings ply Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,Do yo know wht Mllik Sherwt did yesterdy? Find ot now @  &lt;RL&gt;
spam,"Congrts! 1 yer specil cinem pss for 2 is yors. cll 09061209465 now! C Sprmn V, Mtrix3, StrWrs3, etc ll 4 FREE! bx420-ip4-5we. 150pm. Dont miss ot! "
ham,"Sorry, I'll cll lter in meeting."
ham,Tell where yo reched
ham,Yes..gti nd sehwg ot of odi series.
ham,Yor gonn hve  pick p  $1 brger for yorself on yor wy home. I cn't even move. Pin is killing me.
ham,H h h good joke. Girls re sittion seekers.
ham,Its  prt of checking IQ
ham,"Sorry my roommtes ok forever, it ok if I come by now?"
ham,Ok lr i doble check wif d hir dresser lredy he sid wn ct v short. He sid will ct  i look nice.
spam,"s  vled csmer, I m plesed  dvise yo tht following recent review of yor Mob No. yo re wrded with  еЈ1500 Bons Prize, cll 09066364589"
ham,"dy is \song dedicted dy..\"" Which song will  dedicte for me? Send this  ll r vlble frnds bt first rply me..."""
spam,"rgent R wrded  complimentry trip  EroDisinc Trv, co&Entry41 Or еЈ1000.  clim txt DIS  87121 18+6*еЈ1.50(moreFrmMob. ShrcomOrSglSplt)10, LS1 3J"
spam,"Did yo her bot the new \Divorce Brbie\""? It comes with ll of Ken's stff!"""
ham,I plne  give on this month end.
ham,Wh lcky mn... Then cn sve money... Hee...
ham,Finished clss where re yo.
ham,HI BBE IM T HOME NOW WNN DO SOMETHING? XX
ham,K..k:)where re yo?how did yo performed?
ham, cn cll me now...
ham,I m witing mchn. Cll me once yo free.
ham,Thts cool. i m  gentlemn nd will tret yo with dignity nd respect.
ham,I like yo peoples very mch:) bt m very shy p.
ham,Does not operte fter  &lt;#&gt;  or wht
ham,Its not the sme here. Still looking for  job. How mch do T's ern there.
ham,"Sorry, I'll cll lter"
ham,K. Did yo cll me jst now h? 
ham,Ok i m on the wy  home hi hi
ham,Yo will be in the plce of tht mn
ham,Yp next sp.
ham,"I cll yo lter, don't hve network. If rgnt, sms me."
ham,For rel when  getting on yo? I only need 2 more tickets nd one more jcket nd I'm done. I lredy sed ll my mltis.
ham,Yes I strted  send reqests  mke it bt pin cme bck so I'm bck in bed. Doble coins t the fcry o. I gott csh in ll my nitros.
ham,I'm relly not p  it still night bbe
ham,"El kno.,il downlod, come wen r free.."
ham,Yeh do! Don‰Ычt stnd  close tho- yo‰Ычll ctch something!
ham,Sorry  be  pin. Is it ok if we meet nother night? I spent lte fternoon in cslty nd tht mens i hven't done ny of y stff42moro nd tht incldes ll my time sheets nd tht. Sorry. 
ham,Smile in Plesre Smile in Pin Smile when troble pors like Rin Smile when sm1 Hrts  Smile becoz SOMEONE still Loves  see  Smiling!!
spam,Plese cll or csmer service representtive on 0800 169 6031 between 10m-9pm s yo hve WON  grnteed еЈ1000 csh or еЈ5000 prize!
ham,Hvent plnning  by lter. I check lredy lido only got 530 show in e fternoon.  finish work lredy?
spam,"Yor free ringne is witing  be collected. Simply text the pssword \MIX\""  85069  verify. Get sher nd Britney. FML"
ham,Wtching telg movie..wt bt ?
ham,i see. When we finish we hve lods of lons  py
ham,"Hi. Wk been ok - on hols now! Yes on for  bit of  rn. Forgot tht i hve hirdressers ppointment t for so need  get home n shower beforehnd. Does tht cse prob for ?\""
hm"""
ham,Plese don't text me nymore. I hve nothing else  sy.
ham,Oky nme r price s long s its legl! Wen cn I pick them p? Y  ve x ms xx
ham,I'm still looking for  cr  by. nd hve not gone 4the driving test yet.
ham,s per yor reqest 'Melle Melle (Or Minnminnginte Nrng Vettm)' hs been set s yor cllertne for ll Cllers. Press *9  copy yor friends Cllertne
ham,"wow. Yo're right! I didn't men  do tht. I gess once i gve p on bosn men nd chnged my serch loction  nyc, something chnged. Cz on my signin pge it still sys bosn."
ham,mm my life nd vv mm love yo lot der
ham,Thnks  lot for yor wishes on my birthdy. Thnks yo for mking my birthdy trly memorble.
ham,"ight, I'll hit yo p when I get some csh"
ham,How wold my ip ddress test tht considering my compter isn't  minecrft server
ham,I know! Grmpy old people. My mom ws like yo better not be lying. Then gin I m lwys the one  ply jokes...
ham,Dont worry. I gess he's bsy.
ham,Wht is the plrl of the non reserch?
ham,Going for dinner.msg yo fter.
ham,I'm ok wif it cos i like 2 try new things. Bt i scred  dn like mh. Cos  sid not o lod.
spam,GENT! We re trying  contct yo. Lst weekends drw shows tht yo won  еЈ1000 prize GRNTEED. Cll 09064012160. Clim Code K52. Vlid 12hrs only. 150ppm
ham,"W, r openin sentence very forml... nywy, i'm fine o, jz tt i'm etin o mch n pttin on weight...Hh... So nythin specil hppened?"
ham,"s I entered my cbin my P sid, '' Hppy B'dy Boss !!''. I felt specil. She skd me 4 lnch. fter lnch she invited me  her prtment. We went there."
spam,Yo re  winner  hve been specilly selected 2 receive еЈ1000 or  4* holidy (flights inc) spek   live operr 2 clim 0871277810910p/min (18+) 
ham,Goodo! Yes we mst spek fridy - egg-pot rtio for rtill needed! 
ham,Hmm...my ncle jst informed me tht he's pying the school directly. So pls by food.
spam,PRIVTE! Yor 2004 ccont Sttement for 07742676969 shows 786 nredeemed Bons Points.  clim cll 08719180248 Identifier Code: 45239 Expires
spam,"RGENT! Yor Mobile No. ws wrded еЈ2000 Bons Cller Prize on 5/9/03 This is or finl try  contct ! Cll from Lndline 09064019788 BOX42WR29C, 150PPM"
ham,here is my new ddress -pples&pirs&ll tht mlrky
spam,dys Vod nmbers ending 7548 re selected  receive  $350 wrd. If yo hve  mtch plese cll 08712300220 qoting clim code 4041 stndrd rtes pp
ham,I m going  so m dy. Will be done only t 12 
ham,МП predict wt time М_'ll finish bying?
ham,"Good stff, will do."
ham,"Jst so tht yo know,yetnde hsn't sent money yet. I jst sent her  text not  bother sending. So its over, yo dont hve  involve yorself in nything. I sholdn't hve imposed nything on yo in the first plce so for tht, i pologise."
ham,re yo there in room.
ham,HEY GIRL. HOW R ? HOPE  R WELL ME N DEL R BK! GIN LONG TIME NO C! GIVE ME  CLL SM TIME FROM LCYxx
ham,K..k:)how mch does it cost?
ham,I'm home.
ham,"Der, will cll Tmorrow.pls ccomodte."
ham,First nswer my qestion.
spam,Snshine Qiz Wkly Q! Win  p Sony DVD plyer if  know which contry the lgrve is in? Txt nsr  82277. еЈ1.50 SP:Tyrone
spam,Wnt 2 get lid night? Wnt rel Dogging loctions sent direct 2 r mob? Join the K's lrgest Dogging Network bt Txting GRVEL  69888! Nt. ec2. 31p.msg@150p
ham,I only hf msn. It's yije@hotmil.com
ham,He is there. Yo cll nd meet him
ham,No no. I will check ll rooms befor ctivities
spam,Yo'll not rcv ny more msgs from the cht svc. For FREE Hrdcore services text GO : 69988 If  get nothing  mst ge Verify with yr network & try gin
ham,Got c... I lzy  type... I forgot М_ in lect... I sw  poch bt like not v nice...
ham,"K, text me when yo're on the wy"
ham,"Sir, Witing for yor mil."
ham," swt thoght: \Nver get tired of doing little things 4 lovble persons..\"" Coz..somtimes those little things occpy d biggest prt in their Herts.. Gd ni8"""
ham,I know yo re. Cn yo pls open the bck?
ham,Yes see y not on the dot
ham,Whts the stff nme who is tking clss for s?
spam,"FreeMsg Why hven't yo replied  my text? I'm Rndy, sexy, femle nd live locl. Lv  her from . Netcollex Ltd 08700621170150p per msg reply Sp  end"
ham,mmm.will cll fter check in.or life will begin from qtr so pls pry very hrd.
ham,K..i deleted my contct tht why?
ham,Sind got job in birl soft ..
ham,The wine is flowing nd i'm i hve nevering..
ham,Yp i thk cine is better cos no need 2 go down 2 plz mh.
ham,Ok... r typicl reply...
ham,s per yor reqest 'Melle Melle (Or Minnminnginte Nrng Vettm)' hs been set s yor cllertne for ll Cllers. Press *9  copy yor friends Cllertne
ham,"Yo re everywhere dirt, on the floor, the windows, even on my shirt. nd sometimes when i open my moth, yo re ll tht comes flowing ot. I drem of my world withot yo, then hlf my chores re ot o.  time of joy for me, lots of tv shows i.ll see. Bt i gess like ll things yo jst mst exist, like rin, hil nd mist, nd when my time here is done, yo nd i become one."
ham,ooooright re yo t work?
ham,I'm leving my hose now...
ham,"Hello, my love. Wht re yo doing? Did yo get  tht interview dy? re yo yo hppy? re yo being  good boy? Do yo think of me?re yo missing me ?"
spam,Csmer service nnoncement. Yo hve  New Yers delivery witing for yo. Plese cll 07046744435 now  rrnge delivery
spam,Yo re  winner  hve been specilly selected 2 receive еЈ1000 csh or  4* holidy (flights inc) spek   live operr 2 clim 0871277810810
ham,Keep yorself sfe for me becse I need yo nd I miss yo lredy nd I envy everyone tht see's yo in rel life
ham,New cr nd hose for my prents.:)i hve only new job in hnd:)
ham,I'm so in love with yo. I'm excited ech dy i spend with yo. Yo mke me so hppy.
spam,-PLS SP bootydelios (32/F) is inviting yo  be her friend. Reply YES-434 or NO-434 See her: www.SMS.c//bootydelios SP? Send SP FRND  62468
spam,"BngBbes r order is on the wy.  SHOLD receive  Service Msg 2 downlod R content. If  do not, Go wp. bngb. tv on R mobile internet/service men"
ham,I plce ll r points on e cltres modle lredy.
spam,RGENT! We re trying  contct yo. Lst weekends drw shows tht yo hve won  еЈ900 prize GRNTEED. Cll 09061701939. Clim code S89. Vlid 12hrs only
ham,"Hi frnd, which is best wy  void missnderstding wit or beloved one's?"
ham,Gret escpe. I fncy the bridge bt needs her lger. See yo mo 
ham,Yes :)it completely in ot of form:)clrk lso tter wste.
ham,"Sir, I need XIS BNK ccont no nd bnk ddress."
ham,"Hmmm.. Thk sre got time  hop rd... Y, cn go 4 free bt... Mz cll   discss lio... "
ham,Wht time yo coming down lter? 
ham,"Bloody hell, cnt believe yo forgot my srnme Mr . Ill give   cle, its spnish nd begins with m... "
ham,"Well, i'm gonn finish my bth now. Hve  good...fine night."
ham,Let me know when yo've got the money so crlos cn mke the cll
ham, still going  the mll?
ham,"Trns ot my friends re stying for the whole show nd won't be bck til ~ &lt;#&gt; , so feel free  go hed nd smoke tht $ &lt;#&gt;  worth"
ham,Text her. If she doesnt reply let me know so i cn hve her log in
ham,Hi! Yo jst spoke  MNEESH V. We'd like  know if yo were stisfied with the experience. Reply ll Free with Yes or No.
ham,Yo lifted my hopes with the offer of money. I m in need. Especilly when the end of the month pproches nd it hrts my stdying. nywys hve  gr8 weekend
ham,Lol no.  cn trst me.
ham,ok. I m  gentlemn nd will tret yo with dignity nd respect.
ham,"He will, yo gys close?"
ham,Going on nothing gret.bye
ham,Hello hndsome ! re yo finding tht job ? Not being lzy ? Working wrds getting bck tht net for mmmy ? Where's my boyy now ? Does he miss me ?
ham,"Hh wesome, be there in  minte"
spam,Plese cll or csmer service representtive on FREEPHONE 0808 145 4742 between 9m-11pm s yo hve WON  grnteed еЈ1000 csh or еЈ5000 prize!
ham,Hve yo got Xms rdio times. If not i will get it now
ham,I js reched home. I go bthe first. Bt my sis sing net tell  when she finishes k...
spam,re yo niqe enogh? Find ot from 30th gst. www.reyoniqe.co.k
ham,I'm sorry. I've joined the lege of people tht dont keep in ch. Yo men  gret del  me. Yo hve been  friend t ll times even t gret personl cost. Do hve  gret week.|
ham,Hi :)finlly i completed the corse:)
ham,It will sp on itself. I however sggest she stys with someone tht will be ble  give ors for every sol.
ham,How re yo doing? Hope yo've settled in for the new school yer. Jst wishin yo  gr8 dy
ham,Gd mrng der hv  nice dy
ham,Did  got tht persons sry
ham,is yor hmster ded? Hey so tmr i meet yo t 1pm orchrd mrt? 
ham,Hi its Kte how is yor evening? I hope i cn see yo morrow for  bit bt i hve  bloody bbyjontet! Txt bck if  cn. :) xxx
ham,"Fond it, ENC  &lt;#&gt; , where yo t?"
ham,I sent yo  &lt;#&gt;  bcks
ham,Hello drlin ive finished college now so txt me when  finish if  cn love Kte xxx
ham,Yor ccont hs been refilled sccessflly by INR  &lt;DECIML&gt; . Yor KerlCircle prepid ccont blnce is Rs  &lt;DECIML&gt; . Yor Trnsction ID is KR &lt;#&gt; .
ham,Goodmorning sleeping g.
ham, cll me lter t 11 ok.
ham,МП sy  like dt i dn by ericsson oso cnnot oredi lr...
ham,"s I entered my cbin my P sid, '' Hppy B'dy Boss !!''. I felt specil. She skd me 4 lnch. fter lnch she invited me  her prtment. We went there."
ham,"ight yo, dts stright dogg"
ham,Yo plese give s connection dy itself before  &lt;DECIML&gt;  or refnd the bill
ham,Both :) i shoot big lods so get redy!
ham,"Wht's p brv, hope yo hd  gret brek. Do hve  rewrding semester."
ham,Home so we cn lwys cht
ham,K:)k:)good:)stdy well.
ham,Yp... How М_ noe leh...
ham,Sonds gret! re yo home now?
ham,Finlly the mtch heding wrds drw s yor prediction.
ham,Tired. I hven't slept well the pst few nights.
ham,Esy h?sen got selected mens its good..
ham,I hve  tke exm with mrch 3
ham,Yeh yo shold. I think yo cn se yor gt tm now  register. Not sre bt if there's nywy i cn help let me know. Bt when yo do be sre yo re redy.
ham,Ok no prob. Tke r time.
ham,There is os clled bnd which will rn withot instlling in hrd disk...yo cn se tht os  copy the importnt files in system nd give it  repir shop..
ham,"Sorry, I'll cll lter"
ham, sy leh... Of corse nothing hppen lr. Not sy v romntic js  bit only lor. I thk e nite scenery not so nice leh.
spam,"500 New Mobiles from 2004, MST GO! Txt: NOKI  No: 89545 & collect yors dy!From ONLY еЈ1 www.4-tc.biz 2opt 087187262701.50gbp/mtmsg18"
ham,Wold relly pprecite if yo cll me. Jst need someone  tlk .
spam,"Will  meet r drem prtner soon? Is r creer off 2  flyng strt? 2 find ot free, txt HORO followed by r str sign, e. g. HORO RIES"
ham,Hey compny elm po mdydh.
ham,"Life is more strict thn techer... Bcoz Techer teches lesson &mp; then condcts exm, Bt Life first condcts Exm &mp; then teches Lessons. Hppy morning. . ."
ham,Der good morning now only i m p
ham,Get down in gndhiprm nd wlk  cross ct rod. Right side &lt;#&gt; street rod nd trn t first right.
ham,Der we re going  or rbber plce
ham,"Sorry bttery died, yeh I'm here"
ham,Yes:)here tv is lwys vilble in work plce..
spam,Text & meet someone sexy dy.  cn find  dte or even flirt its p  . Join 4 jst 10p. REPLY with NME & GE eg Sm 25. 18 -msg recd@thirtyeight pence
ham,I hve printed it oh. So  &lt;#&gt;  come pstirs
ham,Or ill be  little closer like t the bs sp on the sme street
ham,Where re yo?when wil yo rech here?
ham,"New Theory: rgment wins d SITTION, bt loses the PERSON. So dont rge with r friends jst.. . . . kick them &mp; sy, I'm lwys correct.!"
spam, 447801259231 hve  secret dmirer who is looking 2 mke contct with -find ot who they R*revel who thinks R so specil-cll on 09058094597
ham,mrrow finl hering on my lpp cse so i cnt.
ham,PLESSSSSSSEEEEEE TEL ME V VENT DONE SPORTSx
ham,"Oky. No no, jst shining on. Tht ws ment  be signing, bt tht sonds better."
ham,"lthogh i ld  dt i'm in big fce wtches now bt i relly like e wtch  gve cos it's fr . Thnx 4 everything dt 've done dy, i'm ched..."
ham, don't remember tht old commercil?
ham,o lte. I sid i hve the website. I didn't i hve or dont hve the slippers
ham,I sked yo  cll him now ok
ham,Kllis wont bt in 2nd innings.
ham,It didnt work gin oh. Ok goodnight then. I.ll fix nd hve it redy by the time yo wke p. Yo re very derly missed hve  good night sleep.
spam,Congrtltions r wrded 500 of CD vochers or 125gift grnteed & Free entry 2 100 wkly drw txt MSIC  87066 TnCs www.Ldew.com1win150ppmx3ge16
ham,Rnjith cl drpd Deerj nd deepk 5min hold
ham,"Wen r lovble bcms ngry wid , dnt tke it seriosly.. Coz being ngry is d most childish n tre wy of showing deep ffection, cre n lv!.. ketd mnd... Hve nice dy d."
ham,Wht yo doing?how re yo?
ham,"ps which is 3dys lso, nd the shipping compny tht tkes 2wks. The other wy is sps which tkes  week bt when it gets  lg yo my hve  bribe nipost  get yor stff."
ham,"I'm bck, lemme know when yo're redy"
ham,Don't necessrily expect it  be done before yo get bck thogh becse I'm jst now hedin ot
ham,Mmm so ymmy bbe ... Nice jolt  the szy
ham,Where re yo lover ? I need yo ...
spam,We tried  contct yo re yor reply  or offer of  Video Hndset? 750 nytime networks mins? NLIMITED TEXT? Cmcorder? Reply or cll 08000930705 NOW
ham,I‰Ычm prked next   MINI!!!! When re yo coming in dy do yo think?
ham,Yp
ham,nywy i'm going shopping on my own now. Cos my sis not done yet. Dn distrb  lio.
ham,MY NO. IN LN 0125698789 RING ME IF R ROND! H*
spam,Hey I m relly horny wnt  cht or see me nked text hot  69698 text chrged t 150pm  nsbscribe text sp 69698
ham,Why yo Dint come with s.
ham,Sme. Wn pln  trip sometme then
ham,"Not sre yet, still trying  get  hold of him"
spam,r ringne service hs chnged! 25 Free credits! Go  clb4mobiles.com  choose content now! Sp? txt CLB SP  87070. 150p/wk Clb4 PO Box1146 MK45 2WT
ham,The evo. I jst hd  downlod flsh. Jelos?
spam,Ringne Clb: Get the K singles chrt on yor mobile ech week nd choose ny p qlity ringne! This messge is free of chrge.
ham,"Come  m, we're sorting ot or nrcotics sittion"
ham,"Night hs ended for nother dy, morning hs come in  specil wy. My yo smile like the snny rys nd leves yor worries t the ble ble by."
spam,HMV BONS SPECIL 500 ponds of genine HMV vochers  be won. Jst nswer 4 esy qestions. Ply Now! Send HMV  86688 More info:www.100percent-rel.com
ham,"sf I gess, might s well tke 1 cr"
ham,No objection. My bf not coming.
ham,Thnx...
ham,Tell rob  mck his gf in the theter
ham,"wesome, I'll see yo in  bit"
ham,Jst sent it. So wht type of food do yo like?
ham,ll done? ll hnded in? Celebrtions in fll swing yet?
ham,Yo got clled  ol?
ham,\Wen  miss someone
ham,Ok. I sked for money how fr
ham,Okie...
ham,"Yeh I think my sl gy's still pssed ot from lst night, if yo get hold of nybody let me know nd I'll throw down"
ham,"K, I might come by night then if my clss lets ot erly"
ham,Ok..
ham,hi bby im crisin with my girl friend wht r  p 2? give me  cll in nd hor t home if thts lright or fone me on this fone now love jenny xxx
ham,"My life Mens  lot  me, Not becse I love my life, Bt becse I love the people in my life, The world clls them friends, I cll them my World:-).. Ge:-).."
ham,"Der,shll mil nite.bsy in the street,shll pdte yo nite.things re looking ok.vrnnth edkkkyee rksh oll.bt  good one in rel sense."
ham,Hey yo ld yor nme  gthm h?
ham,Hf  fond him? I feel so stpid d v cm ws working.
ham,Oops. 4 got tht bit.
ham,re yo this mch bzy
ham,I ccidentlly deleted the messge. Resend plese.
spam,T-Mobile csmer yo my now clim yor FREE CMER PHONE pgrde &  py & go sim crd for yor loylty. Cll on 0845 021 3680.Offer ends 28thFeb.T&C's pply
ham,nless it's  sittion where YO GO GRL wold be more pproprite
ham,Hrt me... Tese me... Mke me cry... Bt in the end of my life when i die plz keep one rose on my grve nd sy STPID I MISS .. HVE  NICE DY BSLVYL
ham,I cnt pick the phone right now. Pls send  messge
ham,Need  coffee rn mo?Cn't believe it's tht time of week lredy
ham,"wesome, I remember the lst time we got somebody high for the first time with diesel :V"
ham,"Shit tht is relly shocking nd scry, cnt imgine for  second. Def p for night ot. Do  think there is somewhere i cold crsh for night, sve on txi?"
ham,Oh nd by the wy yo do hve more food in yor fridge! Wnt  go ot for  mel night? 
ham,He is  womdrfll cr
spam,"SMS. c Blind Dte 4!: Rodds1 is 21/m from berdeen, nited Kingdom. Check Him ot http://img. sms. c/W/icmb3cktz8r7!-4 no Blind Dtes send HIDE"
ham,Yp... From wht i remb... I think shold be cn book... 
ham,Jos sk if  wn meet p?
ham,Lol yes. Or friendship is hnging on  thred cse  won't by stff.
spam,"TheMob> Check ot or newest selection of content, Gmes, nes, Gossip, bbes nd sport, Keep yor mobile fit nd fnky text WP  82468"
ham,Where re the grge keys? They ren't on the bookshelf
ham,dy is CCEPT DY.. ccept me s? Brother Sister Lover Der1 Best1 Clos1 Lvblefrnd Jstfrnd Ctefrnd Lifprtnr Belovd Swthert Bstfrnd No rply mens enemy
spam,"Think r smrt ? Win еЈ200 this week in or weekly qiz, text PLY  85222 now!T&Cs WinnersClb PO BOX 84, M26 3Z. 16+. GBP1.50/week"
ham,He sys he'll give me  cll when his friend's got the money bt tht he's definitely bying before the end of the week
ham,"Hi the wy I ws with  2dy, is the norml wy&this is the rel me. R niqe&I hope I know  4 the rest of mylife. Hope  find wot ws lost."
ham,Yo mde my dy. Do hve  gret dy o.
ham,K.k:)dvnce hppy pongl.
ham,"Hmmm... Gess we cn go 4 kb n power yog... Hh, dnno we cn thn power yog not... Thk got lo oso, forgot lio..."
ham,"Not relly dde, hve no friends i'm frid :("
spam,December only! Hd yor mobile 11mths+? Yo re entitled  pdte  the ltest color cmer mobile for Free! Cll The Mobile pdte Co FREE on 08002986906
ham,"Coffee cke, i gess..."
ham,"Merry Christms  yo o bbe, i love y *kisses*"
ham,Hey... Why dont we jst go wtch x men nd hve lnch... Hh 
ham,cd  tell ppl im gon b  bit l8 cos 2 bses hv gon pst cos they were fll & im still witin 4 1. Pete x
ham,Tht wold be gret. We'll be t the Gild. Cold meet on Brisl rod or somewhere - will get in ch over weekend. Or plns tke flight! Hve  good week
ham,No problem. How re yo doing?
ham,No clls..messges..missed clls
ham,Hi d:)how is the dys clss?
ham,"I'd sy tht's  good sign bt, well, yo know my trck record t reding women"
ham,"Cool, text me when yo're prked"
ham,I'm reding the text i jst sent yo. Its ment  be  joke. So red it in tht light
ham,K.k:)po k.good movie.
ham,Mybe i cold get book ot mo then retrn it immeditely ..? Or something.
spam,Cll Germny for only 1 pence per minte! Cll from  fixed line vi ccess nmber 0844 861 85 85. No prepyment. Direct ccess!
ham,ny chnce yo might hve hd with me evported s soon s yo violted my privcy by steling my phone nmber from yor employer's pperwork. Not cool t ll. Plese do not contct me gin or I will report yo  yor spervisor.
spam,Vlentines Dy Specil! Win over еЈ1000 in or qiz nd tke yor prtner on the trip of  lifetime! Send GO  83600 now. 150p/msg rcvd. CstCre:08718720201.
ham,"T-D! I m home bbe, re yo still p ?"
ham,Cool. So how come yo hvent been wined nd dined before?
ham,Jst sleeping..nd srfing
ham,"Sorry, I'll cll lter"
ham, clling me right? Cll my hnd phone...
ham,Ok tht's gret thnx  lot.
ham,I tke it the post hs come then! Yo mst hve 1000s of texts now! Hppy reding. My one from wiv hello croline t the end is my fvorite. Bless him
ham,Where  been hiding strnger?
ham,m not interested  do like tht.
ham,My sister clered two rond in birl soft yesterdy.
ham,Gdnite....tc...prctice going on
ham,Dis is yije. I js sw r mil. In cse himing hvent sent  my nm. Dis is my nm.
ham,One smll prestige problem now.
spam,Fncy  shg? I do.Interested? sextextk.com txt XXK SZY  69876. Txts cost 1.50 per msg. TnCs on website. X
ham,Jst checking in on yo. Relly do miss seeing Jeremih. Do hve  gret month
ham,"Nh cn't help yo there, I've never hd n iphone"
ham,If yo're not in my cr in n hor nd  hlf I'm going peshit
ham,"DY is Sorry dy.! If ever i ws ngry with yo, if ever i misbehved or hrt yo? plz plz JST SLP RSELF Bcoz, Its r flt, I'm bsiclly GOOD"
